"Tag Code","Mark Species Name","Event Type Name","Event Site Name","Event Site Code Value","Event Site Info Name","Event Site Info Code","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:23:32 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:24:33 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:25:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:26:53 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:28:32 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:29:32 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:30:36 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:31:36 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:32:36 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:33:36 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:34:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:35:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:36:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:37:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:38:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:39:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:40:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:41:51 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:42:51 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:44:02 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:45:02 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:48:37 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:49:44 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:50:44 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 6:53:31 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:16:02 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:17:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:18:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:19:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:20:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:21:13 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:22:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:23:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:24:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:25:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:26:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:27:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:28:38 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:31:36 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:31:40 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:33:00 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:34:01 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:35:02 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:36:04 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:37:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:38:10 PM","A1","100","","","1"
